1	1	1	2
1	1	2	2
1	1	3	2
1	1	4	2
1	1	6	2
1	1	7	2
1	1	8	2
1	1	9	2
1	1	10	2
1	1	11	2
1	1	12	3
1	1	13	2
1	1	14	2
1	1	15	3
1	1	16	3
1	1	17	2
1	1	18	2
1	1	19	2
1	1	20	2
1	1	21	3
1	1	47	2
1	1	61	3
1	1	62	3
1	1	63	3
1	1	64	3
1	1	65	4
1	2	1	2
1	2	2	2
1	2	3	2
1	2	4	2
1	2	6	2
1	2	7	2
1	2	8	2
1	2	9	2
1	2	10	2
1	2	11	2
1	2	12	3
1	2	13	2
1	2	14	2
1	2	15	3
1	2	16	3
1	2	17	2
1	2	18	2
1	2	19	2
1	2	20	2
1	2	21	3
1	2	47	2
1	2	61	3
1	2	62	3
1	2	63	3
1	2	64	3
1	2	65	4
1	3	1	2
1	3	2	2
1	3	3	2
1	3	4	2
1	3	6	2
1	3	7	2
1	3	8	2
1	3	9	2
1	3	10	2
1	3	11	2
1	3	12	3
1	3	13	2
1	3	14	2
1	3	15	3
1	3	16	3
1	3	17	2
1	3	18	2
1	3	19	2
1	3	20	2
1	3	21	3
1	3	47	2
1	3	61	3
1	3	62	3
1	3	63	3
1	3	64	3
1	3	65	4
1	4	1	2
1	4	2	2
1	4	3	2
1	4	4	2
1	4	6	2
1	4	7	2
1	4	8	2
1	4	9	2
1	4	10	2
1	4	11	2
1	4	12	3
1	4	13	2
1	4	14	2
1	4	15	3
1	4	16	3
1	4	17	2
1	4	18	2
1	4	19	2
1	4	20	2
1	4	21	3
1	4	47	2
1	4	61	3
1	4	62	3
1	4	63	3
1	4	64	3
1	4	65	4
1	5	1	2
1	5	2	2
1	5	3	2
1	5	4	2
1	5	6	2
1	5	7	2
1	5	8	2
1	5	9	2
1	5	10	2
1	5	11	2
1	5	12	3
1	5	13	2
1	5	14	2
1	5	15	3
1	5	16	3
1	5	17	2
1	5	18	2
1	5	19	2
1	5	20	2
1	5	21	3
1	5	47	2
1	5	61	3
1	5	62	3
1	5	63	3
1	5	64	3
1	5	65	4
1	6	1	2
1	6	2	2
1	6	3	2
1	6	4	2
1	6	6	2
1	6	7	2
1	6	8	2
1	6	9	2
1	6	10	2
1	6	11	2
1	6	12	3
1	6	13	2
1	6	14	2
1	6	15	3
1	6	16	3
1	6	17	2
1	6	18	2
1	6	19	2
1	6	20	2
1	6	21	3
1	6	47	2
1	6	61	3
1	6	62	3
1	6	63	3
1	6	64	3
1	6	65	4
1	7	1	2
1	7	2	2
1	7	3	2
1	7	4	2
1	7	6	2
1	7	7	2
1	7	8	2
1	7	9	2
1	7	10	2
1	7	11	2
1	7	12	3
1	7	13	2
1	7	14	2
1	7	15	3
1	7	16	3
1	7	17	2
1	7	18	2
1	7	19	2
1	7	20	2
1	7	21	3
1	7	47	2
1	7	61	3
1	7	62	3
1	7	63	3
1	7	64	3
1	7	65	4
5	1	26	2
5	2	26	2
5	3	26	2
5	1	27	2
5	2	27	2
5	3	27	2
5	1	28	2
5	2	28	2
5	3	28	2
5	1	60	2
5	2	60	2
5	3	60	2
5	1	10	2
5	2	10	2
5	3	10	2
5	1	12	3
5	2	12	3
5	3	12	3
5	1	13	2
5	2	13	2
5	3	13	2
5	1	29	2
5	2	29	2
5	3	29	2
5	1	14	2
5	2	14	2
5	3	14	2
5	1	18	4
5	2	18	4
5	3	18	4
5	2	51	2
5	3	51	2
5	1	16	3
5	2	16	3
5	3	16	3
5	1	15	3
5	2	15	3
5	3	15	3
5	1	17	2
5	2	17	2
5	3	17	2
5	1	20	2
5	2	20	2
5	3	20	2
5	1	61	3
5	2	61	3
5	3	61	3
5	1	62	3
5	2	62	3
5	3	62	3
5	1	63	3
5	2	63	3
5	3	63	3
5	1	64	3
5	2	64	3
5	3	64	3
5	1	65	4
5	2	65	4
5	3	65	4
